"longitude","latitude","species","geometry","color"
151.79,-32.8834,"Limosa lapponica",c(151.79, -32.8834),"#509E2F"
145.247,-15.4648,"Limosa lapponica",c(145.247, -15.4648),"#509E2F"
152.699,-31.8686,"Limosa lapponica",c(152.699, -31.8686),"#509E2F"
153.096,-27.3427,"Limosa lapponica",c(153.096, -27.3427),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
122.344,-17.9786,"Limosa lapponica",c(122.344, -17.9786),"#509E2F"
150.747,-34.8618,"Limosa lapponica",c(150.747, -34.8618),"#509E2F"
153.203,-27.4779,"Limosa lapponica",c(153.203, -27.4779),"#509E2F"
145.763,-16.9034,"Limosa lapponica",c(145.763, -16.9034),"#509E2F"
151.071,-33.8434,"Limosa lapponica",c(151.071, -33.8434),"#509E2F"
153.193,-27.4672,"Limosa lapponica",c(153.193, -27.4672),"#509E2F"
153.109,-27.048,"Limosa lapponica",c(153.109, -27.048),"#509E2F"
145.763,-16.9034,"Limosa lapponica",c(145.763, -16.9034),"#509E2F"
128.197,-15.58,"Limosa lapponica",c(128.197, -15.58),"#509E2F"
153.038,-27.2769,"Limosa lapponica",c(153.038, -27.2769),"#509E2F"
145.776,-16.9183,"Limosa lapponica",c(145.776, -16.9183),"#509E2F"
149.747,-37.5788,"Limosa lapponica",c(149.747, -37.5788),"#509E2F"
150.501,-35.268,"Limosa lapponica",c(150.501, -35.268),"#509E2F"
153.175,-27.3889,"Limosa lapponica",c(153.175, -27.3889),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.109,-27.048,"Limosa lapponica",c(153.109, -27.048),"#509E2F"
145.793,-38.6512,"Limosa lapponica",c(145.793, -38.6512),"#509E2F"
153.109,-27.048,"Limosa lapponica",c(153.109, -27.048),"#509E2F"
153.038,-27.2769,"Limosa lapponica",c(153.038, -27.2769),"#509E2F"
152.85,-31.4162,"Limosa lapponica",c(152.85, -31.4162),"#509E2F"
153.154,-26.9906,"Limosa lapponica",c(153.154, -26.9906),"#509E2F"
144.458,-38.2354,"Limosa lapponica",c(144.458, -38.2354),"#509E2F"
150.747,-34.8618,"Limosa lapponica",c(150.747, -34.8618),"#509E2F"
153.109,-27.048,"Limosa lapponica",c(153.109, -27.048),"#509E2F"
153.409,-27.9552,"Limosa lapponica",c(153.409, -27.9552),"#509E2F"
152.902,-25.6662,"Limosa lapponica",c(152.902, -25.6662),"#509E2F"
146.474,-19.0805,"Limosa lapponica",c(146.474, -19.0805),"#509E2F"
149.948,-37.2473,"Limosa lapponica",c(149.948, -37.2473),"#509E2F"
150.114,-36.2174,"Limosa lapponica",c(150.114, -36.2174),"#509E2F"
153.172,-27.4334,"Limosa lapponica",c(153.172, -27.4334),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
153.032,-27.1495,"Limosa lapponica",c(153.032, -27.1495),"#509E2F"
147.537,-42.7881,"Limosa lapponica",c(147.537, -42.7881),"#509E2F"
153.177,-27.4421,"Limosa lapponica",c(153.177, -27.4421),"#509E2F"
153.134,-27.0483,"Limosa lapponica",c(153.134, -27.0483),"#509E2F"
130.94899,-12.5072,"Limosa lapponica",c(130.94899, -12.5072),"#509E2F"
150.773,-34.9466,"Limosa lapponica",c(150.773, -34.9466),"#509E2F"
152.976,-31.0002,"Limosa lapponica",c(152.976, -31.0002),"#509E2F"
153.109,-27.048,"Limosa lapponica",c(153.109, -27.048),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
135.668,-14.39517,"Limosa lapponica",c(135.668, -14.39517),"#509E2F"
